aluno_id,horas_estudo,frequencia,atividades_entregues,nota_anterior,nota_final
199,8.2,91.1,78.4,7.3,8.8
200,4.6,77.8,95.5,6.8,8.6
201,9.1,73.7,76.9,7.0,9.7
202,9.7,92.6,68.6,7.2,9.1
203,11.2,71.5,76.8,7.5,9.5
204,11.2,63.1,83.1,8.2,8.4
205,3.9,61.3,75.7,7.1,6.7
206,5.2,87.3,75.6,6.1,8.3
207,9.5,64.6,64.5,7.5,9.1
208,9.5,100.0,65.1,9.3,10.0
209,9.5,55.0,54.0,6.3,7.0
210,19.6,100.0,100.0,5.0,10.0
211,9.7,82.5,56.3,8.2,8.2
212,11.4,78.8,64.6,6.3,9.0
213,10.9,73.5,64.2,3.2,7.8
214,10.0,84.8,88.4,7.8,9.4
215,7.1,79.5,70.6,5.7,7.5
216,10.3,93.2,93.7,6.4,9.9
217,5.7,81.4,64.9,7.0,7.7
218,7.3,81.8,79.2,6.8,8.5
219,6.5,75.6,62.5,7.6,9.3
220,8.2,79.3,100.0,5.8,8.6
221,14.9,83.7,57.2,7.3,9.4
222,2.4,59.5,79.6,6.1,6.3
223,10.1,63.8,84.5,7.6,9.3
224,3.2,88.9,81.2,7.4,8.2
225,6.6,82.1,72.2,5.1,7.3
226,11.3,77.8,73.1,8.1,10.0
227,8.2,80.2,75.7,5.7,9.0
228,4.8,84.2,72.8,7.7,8.0
229,5.9,73.5,89.5,7.1,7.2
230,10.0,70.7,100.0,9.3,10.0
231,5.8,82.4,66.6,6.2,7.4
232,8.6,68.3,54.5,6.0,7.9
233,8.1,84.9,73.7,6.5,7.4
234,6.0,59.6,100.0,6.0,8.3
235,14.4,92.3,62.9,7.7,9.4
236,9.9,85.7,99.6,4.1,9.1
237,1.9,83.1,100.0,4.9,7.5
238,8.6,91.8,66.7,4.9,7.6
239,6.0,100.0,83.5,7.9,9.2
240,10.6,92.2,99.4,9.1,10.0
241,5.6,57.9,69.3,6.3,7.0
242,7.7,64.6,71.9,6.2,8.0
243,9.5,72.5,66.3,6.6,9.4
244,10.6,80.3,59.8,8.2,8.1
245,4.4,86.2,65.3,5.1,8.2
246,7.0,71.3,56.6,6.9,7.6
247,6.6,82.2,75.5,8.0,8.2
248,6.0,70.9,63.5,7.3,6.9
249,13.3,72.7,78.5,6.8,9.2
250,9.2,63.1,51.7,8.0,8.5
251,4.2,68.9,80.0,2.4,5.9
252,10.8,63.8,87.5,7.5,9.9
253,14.4,68.3,45.1,5.5,7.2
254,11.1,92.6,80.6,3.8,8.6
255,3.4,68.6,93.4,7.3,7.2
256,6.5,100.0,56.9,8.6,9.3
257,11.8,85.9,100.0,6.3,10.0
258,5.9,82.2,81.3,7.9,8.5
259,9.3,69.7,64.4,8.9,7.3
260,10.3,88.4,74.2,8.5,9.9
261,5.2,73.1,83.4,9.0,9.0
262,7.8,81.5,76.1,7.6,9.1
263,0.0,100.0,83.1,6.6,8.6
264,4.9,78.8,61.2,4.1,6.0
265,7.2,93.8,77.5,6.1,9.1
266,4.3,71.6,53.8,5.2,7.2
267,12.9,79.6,73.3,9.8,9.3
268,3.7,100.0,61.4,6.2,8.1
269,6.7,72.5,64.0,6.7,7.4
270,8.4,100.0,93.5,7.3,9.9
271,12.3,88.5,91.4,6.6,10.0
272,3.7,73.3,84.1,9.0,8.2
273,11.5,87.6,58.6,5.6,8.2
274,8.0,91.7,70.3,6.8,8.8
275,5.1,87.5,93.2,5.4,7.5
276,9.4,61.2,77.1,4.5,6.7
277,8.6,71.3,100.0,5.6,8.9
278,6.2,77.0,80.9,6.4,7.4
279,8.2,79.1,77.9,5.9,8.7
280,6.8,87.4,70.4,5.5,8.2
281,8.3,82.1,77.0,4.4,6.8
282,10.0,64.0,72.7,6.4,7.7
283,12.8,84.6,85.6,4.2,9.6
284,4.3,87.3,89.4,7.6,8.1
285,14.4,86.7,63.2,6.6,9.2
286,2.1,93.0,55.0,4.3,6.8
287,7.5,90.0,47.5,6.0,8.3
288,9.8,85.5,82.6,5.4,8.6
289,8.8,79.2,58.4,7.0,7.9
290,6.1,60.1,42.7,8.5,8.1
291,7.4,85.2,80.8,3.7,8.7
292,6.5,82.5,100.0,6.7,9.5
293,6.2,83.3,74.9,6.3,8.2
294,10.5,64.7,87.6,7.5,8.5
295,9.1,67.0,76.2,6.8,7.8
296,5.9,92.6,73.5,5.4,8.3
297,10.7,79.5,88.8,6.0,9.3
298,8.9,88.2,70.6,5.3,9.1
299,10.4,80.3,79.0,8.1,9.9
300,9.9,80.4,79.8,6.5,8.0
301,5.5,91.3,65.0,9.4,9.7
302,6.3,73.8,89.9,6.4,7.6
303,10.2,81.2,72.4,5.4,8.1
304,9.8,74.5,63.7,4.2,7.6
305,7.9,74.8,83.0,3.8,8.6
306,8.4,76.3,61.5,4.1,9.0
307,11.8,82.7,75.4,6.9,9.7
308,6.2,74.3,74.9,7.3,8.0
309,9.6,95.1,91.3,4.1,9.1
310,7.4,69.3,82.1,7.8,9.1
311,7.3,77.8,74.6,5.8,7.7
312,11.3,74.7,87.3,6.7,10.0
313,10.5,97.4,95.9,8.9,10.0
314,10.4,82.4,83.4,7.8,9.9
315,11.9,92.4,75.2,6.1,9.8
316,8.1,62.2,55.3,5.2,7.1
317,10.0,83.2,59.0,3.3,7.8
318,7.1,90.7,70.4,5.4,7.7
319,9.0,81.0,65.9,6.2,7.9
320,7.6,92.8,72.2,5.0,7.5
321,8.3,73.8,75.8,6.3,8.4
322,9.8,96.9,82.9,6.6,10.0
323,5.5,100.0,73.9,6.2,8.8
324,14.3,75.6,82.3,5.5,10.0
325,5.0,74.7,76.0,6.8,7.8
326,4.4,97.4,45.4,7.2,8.3
327,11.5,99.0,60.9,4.9,8.1
328,10.4,73.7,72.8,8.6,9.0
329,9.9,75.0,56.9,6.4,8.5
330,9.9,76.6,84.0,6.5,9.3
331,8.0,63.9,98.0,7.6,8.6
332,5.3,69.0,93.3,6.8,8.0
333,8.2,68.0,71.8,7.9,7.5
334,6.0,70.8,97.4,6.9,8.2
335,10.9,79.6,77.2,5.6,9.2
336,7.6,82.8,69.9,7.0,8.8
337,5.5,98.6,65.8,4.8,8.1
338,7.0,68.0,70.5,6.7,7.8
339,9.2,91.8,69.2,6.5,8.9
340,6.3,77.4,77.6,6.2,7.6
341,5.5,79.4,77.4,6.3,8.3
342,8.7,88.1,75.0,3.7,8.1
343,8.7,66.5,81.6,5.7,8.2
344,6.5,84.6,92.9,6.6,8.4
345,6.6,82.0,89.2,6.7,7.3
346,8.7,85.9,52.7,5.0,8.3
347,3.7,83.5,36.7,8.4,7.2
348,3.8,100.0,89.0,5.2,7.7
349,5.8,72.3,54.5,8.0,8.2
350,7.4,73.6,71.6,7.1,7.9
351,8.9,72.5,57.4,5.5,8.1
352,12.4,73.3,48.0,9.2,9.6
353,10.6,72.4,83.1,4.7,8.6
354,7.5,94.3,86.4,7.9,8.8
355,7.9,97.0,66.4,8.0,10.0
356,5.0,73.2,36.1,5.5,6.4
357,7.9,70.0,66.8,8.6,8.3
358,7.1,85.7,80.9,6.1,8.5
359,9.0,73.4,52.8,6.9,6.9
360,5.5,87.6,77.8,6.9,8.7
361,9.6,82.4,74.8,6.3,8.1
362,12.6,61.8,83.7,7.7,8.4
363,7.7,98.6,76.8,7.7,8.5
364,9.2,100.0,60.4,3.9,8.7
365,10.1,72.6,92.9,8.5,9.3
366,6.8,75.3,72.6,4.0,8.0
367,8.7,83.4,74.6,8.0,8.8
368,8.0,84.0,61.0,8.2,7.8
369,8.3,87.9,68.4,4.9,7.3
370,5.7,100.0,61.7,5.9,8.9
371,8.1,77.9,72.4,4.8,7.6
372,9.5,70.4,100.0,6.2,8.5
373,12.4,63.4,54.4,6.0,8.0
374,10.9,71.2,50.8,7.7,8.7
375,14.5,79.6,97.1,8.5,10.0
376,5.7,100.0,71.9,8.6,10.0
377,10.6,73.8,65.0,5.7,7.9
378,8.6,82.7,90.6,6.2,8.1
379,14.6,79.8,65.9,4.0,8.2
380,5.6,94.3,100.0,5.3,8.8
381,5.5,100.0,85.2,7.9,8.8
382,6.2,73.6,67.7,8.9,7.9
383,1.6,74.1,100.0,4.6,7.2
384,6.4,92.5,65.9,5.6,8.0
385,5.7,88.2,86.1,6.5,8.6
386,8.5,100.0,79.5,6.9,9.0
387,9.0,87.0,94.5,5.3,8.7
388,13.6,75.7,98.4,7.1,9.5
389,10.9,87.1,75.5,5.8,9.5
390,6.3,93.3,63.7,6.5,8.9
391,5.3,89.8,81.9,7.3,7.6
392,9.5,86.1,64.8,6.5,8.1
393,4.0,92.8,100.0,5.8,7.6
394,13.5,94.0,77.0,6.3,9.5
395,11.5,96.6,69.5,6.4,9.4
396,6.6,87.8,77.8,5.9,7.4
397,2.9,78.0,54.8,6.1,6.2
398,12.1,81.8,60.4,8.9,9.1
399,7.7,94.5,93.0,7.3,9.7
400,11.7,70.2,65.1,6.1,8.4
401,3.2,84.4,59.3,7.5,7.2
402,6.2,75.3,83.0,6.0,8.0
403,8.0,80.3,92.8,8.3,9.1
404,8.1,95.3,85.8,7.1,9.3
405,6.6,82.3,89.9,6.3,9.5
406,9.9,80.6,63.6,7.2,9.5
407,4.8,63.7,53.7,4.1,5.1
408,7.6,89.0,97.5,4.8,9.1
409,8.4,87.7,70.2,4.7,8.5
410,9.5,100.0,71.2,6.7,8.6
411,10.1,76.3,94.9,9.1,10.0
412,4.6,82.6,83.3,9.8,10.0
413,3.4,83.0,81.8,7.5,7.5
414,11.8,98.9,100.0,7.3,10.0
415,9.0,78.9,65.3,3.8,8.0
416,5.8,83.3,88.9,5.7,8.3
417,12.7,87.3,75.9,5.3,9.4
418,8.3,82.2,79.0,5.6,8.5
419,11.5,74.6,97.9,6.2,9.5
420,8.2,82.3,82.6,5.8,7.7
421,14.2,92.9,83.1,3.5,9.7
422,13.3,67.7,91.1,7.6,10.0
423,7.3,81.6,69.5,4.9,7.5
424,10.9,71.6,62.4,6.9,8.4
425,9.9,94.3,59.3,9.6,9.0
426,12.1,61.7,45.5,5.1,7.6
427,5.1,73.3,100.0,2.7,7.3
428,10.1,84.5,58.5,6.1,8.3
429,11.2,98.8,71.7,8.2,10.0
430,2.7,79.2,70.8,9.4,8.1
431,4.5,73.3,79.6,4.7,7.3
432,1.9,100.0,87.2,7.2,7.9
433,7.2,62.6,87.9,5.8,7.7
434,10.2,53.6,66.3,6.3,7.5
435,12.5,85.3,72.5,10.0,10.0
436,8.2,74.0,79.2,4.2,7.3
437,12.9,67.7,71.3,6.9,8.8
438,3.9,88.5,99.1,7.2,9.3
439,2.9,82.9,82.4,8.1,8.1
440,7.8,73.2,86.0,6.6,7.5
441,9.2,64.6,84.9,7.0,9.5
442,7.9,90.5,92.6,5.9,9.8
443,1.8,87.8,77.7,6.9,7.0
444,7.7,78.8,55.5,6.0,8.0
445,4.1,100.0,81.0,7.4,8.6
446,10.0,67.2,65.2,5.9,8.0
447,9.1,61.7,67.1,7.1,8.1
448,5.2,71.7,83.8,6.5,7.7
449,6.5,79.5,93.6,8.2,8.7
450,4.8,82.9,75.3,6.4,7.5
451,7.8,77.1,79.6,3.8,6.9
452,10.9,84.2,100.0,8.4,9.8
453,5.0,65.0,78.6,5.1,6.9
454,9.5,97.3,100.0,5.5,9.1
455,6.4,79.0,83.5,5.6,8.4
456,5.6,93.4,48.6,8.6,9.4
457,7.7,84.1,86.3,3.3,7.3
458,4.9,85.5,80.7,10.0,9.5
459,6.3,86.8,94.3,8.1,9.7
460,4.4,85.4,85.1,6.8,8.6
461,13.9,87.7,72.9,6.4,9.7
462,8.1,95.9,56.6,6.9,9.1
463,5.9,82.4,71.9,7.3,8.6
464,8.6,88.5,62.2,7.5,8.1
465,7.7,78.9,66.3,7.3,8.9
466,7.3,97.3,83.8,6.6,9.7
467,9.8,71.9,100.0,6.2,8.5
468,10.3,100.0,80.9,6.3,9.6
469,6.4,79.5,57.1,6.2,7.9
470,6.3,62.8,81.7,8.2,8.1
471,7.2,81.5,92.9,7.4,9.7
472,1.1,71.8,65.9,2.1,6.5
473,3.5,90.1,73.0,7.5,7.8
474,12.1,72.2,75.2,6.8,8.1
475,12.9,74.6,63.2,6.5,9.0
476,7.3,57.3,84.7,5.9,7.9
477,9.7,74.6,73.2,8.2,8.9
478,8.9,50.9,81.3,7.9,9.1
479,17.2,61.0,61.7,5.3,7.8
480,11.4,89.1,68.4,7.1,9.8
481,7.6,89.4,85.8,5.0,8.0
482,5.1,85.1,69.4,4.4,8.2
483,3.2,68.4,100.0,5.6,8.6
484,8.6,79.4,69.0,7.8,8.3
485,5.7,80.0,78.4,7.9,8.2
486,3.7,66.1,89.0,7.3,8.3
487,6.1,98.0,53.7,7.6,8.3
488,4.8,90.5,48.6,7.3,7.8
489,13.1,77.3,52.1,5.5,8.3
490,10.6,80.3,93.9,7.1,8.4
491,8.0,82.5,66.7,7.7,8.7
492,12.4,55.5,100.0,7.6,8.9
493,8.2,77.0,66.5,8.3,8.4
494,5.4,71.8,77.8,7.6,9.0
495,12.6,68.0,98.1,7.0,8.8
496,9.6,76.6,100.0,8.1,10.0
497,4.9,100.0,100.0,6.5,9.0
498,7.4,87.7,93.1,5.2,8.4
499,5.4,73.1,90.4,6.3,8.5
500,3.9,86.9,83.9,5.4,7.9
